"Core_Speed","Max_Power","Memory","Memory_Bandwidth","Memory_Speed","Process"
6.60394382460047,4.94875989037817,6.93147180559945,4.15888308335967,6.90775527898214,4.00733318523247
6.88755257166462,4.65396035015752,5.54517744447956,3.60549784517489,7.0475172213573,4.17438726989564
6.88755257166462,3.80666248977032,5.54517744447956,3.10906095886099,6.5510803350434,4.17438726989564
6.88755257166462,3.91202300542815,5.54517744447956,3.56104608260405,7.00306545878646,4.17438726989564
6.76849321164863,5.24702407216049,7.6246189861594,4.90082042808905,6.95654544315157,4.00733318523247
6.88755257166462,5.01063529409626,7.6246189861594,5.07517381523383,7.13089883029635,3.3322045101752
6.88755257166462,3.46573590279973,4.15888308335967,1.06471073699243,5.90263333340137,3.3322045101752
6.47697236288968,5.52146091786225,8.72323127482751,5.17953383055807,6.82979373751242,3.68887945411394
6.55819780281227,5.41610040220442,8.54090971803355,5.12396397940326,6.95654544315157,3.3322045101752
6.55961523749324,5.50125821054473,9.41637845538745,5.66434840541079,7.31455283232408,3.3322045101752
6.88755257166462,4.65396035015752,4.15888308335967,1.75785791755237,5.88610403145016,3.3322045101752
6.95654544315157,5.01063529409626,8.03008409426756,4.05352256770185,6.80239476332431,3.3322045101752
6.88755257166462,5.7037824746562,9.01091334727929,5.76832099579377,7.13089883029635,3.3322045101752
6.59578051396131,5.45958551414416,8.72323127482751,5.51985963649527,7.17011954344963,3.3322045101752
5.7037824746562,3.3322045101752,7.6246189861594,3.52929738428947,6.97260625130175,2.63905732961526
6.35437004079735,5.47227067367148,8.72323127482751,4.969813299576,6.62007320653036,3.68887945411394
6.35437004079735,5.50938833662798,8.72323127482751,4.969813299576,6.62007320653036,3.68887945411394
5.7037824746562,2.70805020110221,7.6246189861594,3.52929738428947,6.97260625130175,2.63905732961526
6.35437004079735,5.47227067367148,8.03008409426756,4.969813299576,6.62007320653036,3.68887945411394
5.7037824746562,3.85014760171006,7.6246189861594,3.39785848039664,6.83840520084734,2.63905732961526
5.7037824746562,3.85014760171006,7.6246189861594,3.24259235148552,6.68461172766793,2.63905732961526
6.88755257166462,5.52146091786225,7.6246189861594,6.17378610390194,7.13089883029635,2.77258872223978
